reqId	diskCreateTimeForReq	vmCreateTimeForReq	sliceCreateTime	numberOfFlowSpaces
0	2741	1086	2008	1
1	2574	736	2001	1
2	22625	20771	2001	1
3	22625	20761	2001	1
4	2581	716	2002	1
5	2593	752	2002	1
6	2605	872	2002	1
65	22635	20783	2001	1
7	2627	733	2002	1
66	2580	743	2002	1
8	22621	20726	2001	1
63	22615	20755	2001	1
9	22640	20774	2002	1
64	2583	746	2001	1
61	22594	20761	2002	1
62	22597	20780	2001	1
60	22613	20762	2002	1
69	22633	20827	2001	1
68	2593	717	2002	1
67	2585	706	2002	1
52	2587	707	2001	1
53	2607	745	2002	1
54	2572	728	2002	1
55	22614	20774	2001	1
50	2594	789	2001	1
51	2582	696	2002	1
57	2619	736	2002	1
56	2602	735	2002	1
59	2576	713	2002	1
58	2565	741	2001	1
40	2603	729	2001	1
43	2593	698	2002	1
44	2620	745	2002	1
41	2602	728	2002	1
42	2563	723	2002	1
48	22606	20731	2002	1
47	2587	714	2002	1
46	22632	20744	2002	1
45	22595	20747	2002	1
49	2593	757	2002	1
30	2613	708	2002	1
31	2597	720	2003	1
32	22611	20770	2001	1
33	2578	689	2002	1
35	2570	714	2002	1
34	22618	20727	2001	1
37	22630	20729	2002	1
36	2562	735	2001	1
39	22605	20745	2001	1
38	2566	699	2001	1
106	22622	20781	6002	3
107	12614	10728	6002	3
14	2608	693	2001	1
100	12587	10762	6002	3
15	2588	759	2002	1
101	12601	10748	6002	3
12	2594	742	2001	1
13	2576	729	2001	1
18	22633	20733	2002	1
104	12601	10755	6002	3
105	12650	10731	6002	3
19	2583	725	2002	1
16	22605	20769	2001	1
102	12600	10741	6002	3
17	2585	719	2002	1
103	2609	704	6001	3
11	2579	718	2002	1
10	2589	703	2002	1
97	2604	725	6002	3
96	2594	722	2001	1
99	22631	20753	6002	3
98	2593	736	2002	1
93	2591	738	6002	3
92	2621	754	2001	1
95	12613	10740	6001	3
94	22594	20732	2002	1
23	22597	20726	2001	1
24	22620	20732	2001	1
91	2591	719	6001	3
25	2601	715	2001	1
26	22623	20730	2001	1
90	2584	737	2002	1
27	22605	20744	2002	1
28	22617	20722	2001	1
29	2593	753	2001	1
20	22597	20784	2001	1
22	2574	740	2002	1
21	2577	710	2001	1
84	22603	20767	2001	1
83	2608	746	2001	1
82	2613	735	2002	1
81	2579	733	2002	1
88	22609	20726	2001	1
87	2607	722	2002	1
86	22618	20768	2002	1
85	22636	20757	2001	1
80	22591	20745	2001	1
89	22607	20754	2002	1
71	2602	724	2001	1
70	2594	731	2002	1
73	22604	20752	2001	1
72	2578	709	2001	1
75	2562	735	2002	1
74	2619	736	2002	1
77	2582	759	2001	1
76	22609	20742	2001	1
78	2568	734	2002	1
79	2585	705	2002	1
