reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	3	1	3107	31	3138
1	3	1	1731	24	1755
2	3	1	1394	21	1415
3	3	1	1425	21	1446
4	3	1	1391	18	1409
5	3	1	1359	20	1379
6	3	1	1387	18	1405
7	3	1	1228	18	1246
8	3	1	1220	18	1238
9	3	1	1207	17	1224
10	3	1	1226	17	1243
11	3	1	1219	19	1238
12	3	1	1194	19	1213
13	3	1	1149	18	1167
14	3	1	1145	20	1165
15	3	1	1136	16	1152
16	3	1	1042	18	1060
17	3	1	1042	15	1057
18	3	1	1113	18	1131
19	3	1	1060	16	1076
20	3	1	1023	16	1039
21	3	1	1052	16	1068
22	3	1	1028	17	1045
23	3	1	997	19	1016
24	3	1	1025	15	1040
25	3	1	1068	16	1084
26	3	1	988	16	1004
27	3	1	963	16	979
28	3	1	987	19	1006
29	3	1	943	17	960
30	3	1	940	31	971
31	3	1	989	22	1011
32	3	1	932	19	951
33	3	1	916	19	935
34	3	1	955	22	977
35	3	1	869	23	892
36	3	1	904	20	924
37	3	1	908	21	929
38	3	1	834	23	857
39	3	1	867	20	887
40	3	1	853	21	874
41	3	1	787	20	807
42	3	1	844	23	867
43	3	1	783	23	807
44	3	1	782	20	802
45	3	1	814	24	838
46	3	1	764	20	784
47	3	1	825	24	849
48	3	1	768	23	791
49	3	1	761	21	782
50	3	1	766	24	790
51	3	1	705	21	726
52	3	1	800	23	823
53	3	1	666	23	689
54	3	1	712	21	733
55	3	1	703	23	726
56	3	1	674	21	695
57	3	1	711	24	735
58	3	1	627	23	650
59	3	1	697	24	721
60	3	1	615	21	636
61	3	1	660	23	683
62	3	1	606	25	631
63	3	1	636	65	701
64	3	1	615	74	689
65	3	1	608	62	670
66	3	1	640	70	710
67	3	1	551	65	616
68	3	1	614	73	687
69	3	1	541	74	615
70	3	1	553	69	622
71	3	1	736	74	810
72	3	1	524	66	590
73	3	1	545	73	618
74	3	1	516	73	589
75	3	1	530	72	602
76	3	1	522	78	600
77	3	1	495	81	576
78	3	1	493	92	585
79	3	1	486	76	563
80	3	1	499	75	574
81	3	1	443	89	532
82	3	1	482	83	565
83	3	1	456	81	537
84	3	1	457	170	627
85	3	-2	667	0	667
86	3	-2	407	0	407
87	3	-2	383	0	383
88	3	-2	385	0	385
89	3	-2	414	0	414
90	3	-2	412	0	412
91	3	-2	403	0	403
92	3	-2	391	0	391
93	3	-2	387	0	387
94	3	-2	423	0	423
95	3	-2	419	0	419
96	3	-2	411	0	411
97	3	-2	381	0	381
98	3	-2	407	0	407
99	3	-2	426	0	426
100	3	-2	409	0	409
101	3	-2	409	0	409
102	3	-2	389	0	389
103	3	-2	398	0	398
104	3	-2	420	0	420
105	3	-2	419	0	419
106	3	-2	400	0	400
107	3	-2	387	0	387
108	3	-2	398	0	398
109	3	-2	428	0	428
110	3	-2	424	0	424
111	3	-2	397	0	397
112	3	-2	393	0	393
113	3	-2	411	0	411
114	3	-2	433	0	433
115	3	-2	418	0	418
116	3	-2	402	0	402
117	3	-2	382	0	382
118	3	-2	412	0	412
119	3	-2	424	0	424
120	3	-2	422	0	422
121	3	-2	394	0	394
122	3	-2	385	0	385
123	3	-2	405	0	405
124	3	-2	444	0	445
125	3	-2	426	0	426
126	3	-2	387	0	387
127	3	-2	385	0	385
128	3	-2	419	0	419
129	3	-2	431	0	431
130	3	-2	429	0	429
131	3	-2	384	0	384
132	3	-2	389	0	389
133	3	-2	416	0	416
134	3	-2	433	0	433
135	3	-2	422	0	422
136	3	-2	391	0	391
137	3	-2	396	0	396
138	3	-2	423	0	423
139	3	-2	426	0	426
140	3	-2	418	0	418
141	3	-2	391	0	391
142	3	-2	408	0	408
143	3	-2	428	0	428
144	3	-2	427	0	427
145	3	-2	414	0	414
146	3	-2	388	0	388
147	3	-2	407	0	407
148	3	-2	416	0	416
149	3	-2	420	0	420
0	5	1	2783	41	2824
1	5	1	1860	37	1897
2	5	1	1700	35	1735
3	5	1	1630	36	1666
4	5	1	1511	31	1542
5	5	1	1464	33	1497
6	5	1	1566	32	1598
7	5	1	1437	32	1469
8	5	1	1443	28	1471
9	5	1	1271	28	1299
10	5	1	1244	28	1272
11	5	1	1255	24	1279
12	5	1	1227	25	1252
13	5	1	1226	26	1252
14	5	1	1203	28	1231
15	5	1	1155	28	1183
16	5	1	1090	29	1120
17	5	1	1084	25	1109
18	5	1	1114	27	1141
19	5	1	1115	29	1144
20	5	1	1041	27	1068
21	5	1	960	28	988
22	5	1	989	25	1015
23	5	1	1019	28	1047
24	5	1	974	26	1000
25	5	1	904	27	931
26	5	1	937	25	962
27	5	1	900	30	930
28	5	1	828	29	857
29	5	1	855	26	881
30	5	1	865	29	894
31	5	1	769	31	800
32	5	1	739	95	834
33	5	1	803	80	883
34	5	1	744	80	824
35	5	1	711	74	785
36	5	1	726	99	825
37	5	1	689	82	771
38	5	1	642	75	717
39	5	1	661	79	740
40	5	1	659	97	756
41	5	1	579	79	658
42	5	1	620	78	698
43	5	1	586	82	669
44	5	1	506	76	582
45	5	1	543	89	632
46	5	1	469	122	591
47	5	1	477	115	592
48	5	1	486	213	699
49	5	1	470	182	652
50	5	1	412	192	604
51	5	-2	656	0	656
52	5	-2	410	0	410
53	5	-2	444	0	444
54	5	-2	458	0	458
55	5	-2	454	0	454
56	5	-2	408	0	408
57	5	-2	430	0	430
58	5	-2	455	0	455
59	5	-2	454	0	454
60	5	-2	417	0	417
61	5	-2	411	0	411
62	5	-2	441	0	441
63	5	-2	447	0	447
64	5	-2	462	0	462
65	5	-2	413	0	413
66	5	-2	418	0	418
67	5	-2	461	0	461
68	5	-2	450	0	450
69	5	-2	441	0	441
70	5	-2	415	0	415
71	5	-2	445	0	445
72	5	-2	457	0	457
73	5	-2	463	0	463
74	5	-2	422	0	422
75	5	-2	416	0	416
76	5	-2	439	0	439
77	5	-2	448	0	448
