reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	6	1	2316	54	2370
1	6	1	1683	43	1726
2	6	1	1366	40	1406
3	6	1	1327	45	1372
4	6	1	1231	38	1269
5	6	1	1155	36	1191
6	6	1	1140	36	1176
7	6	1	1093	37	1130
8	6	1	1049	34	1083
9	6	1	964	32	996
10	6	1	963	33	996
11	6	1	928	32	960
12	6	1	877	32	909
13	6	1	862	33	895
14	6	1	835	32	867
15	6	1	778	54	832
16	6	1	781	32	813
17	6	1	757	31	788
18	6	1	724	31	756
19	6	1	686	31	717
20	6	1	681	31	712
21	6	1	663	32	695
22	6	1	628	32	660
23	6	1	589	32	621
24	6	1	574	84	658
25	6	1	552	85	638
26	6	1	511	85	596
27	6	1	483	84	567
28	6	1	471	85	556
29	6	1	444	90	534
30	6	1	413	104	517
31	6	1	399	88	487
32	6	1	388	87	475
33	6	1	345	87	432
34	6	1	324	88	412
35	6	1	311	88	399
36	6	-2	423	0	423
37	6	-2	283	0	283
38	6	-2	270	0	270
39	6	-2	286	0	286
40	6	-2	272	0	272
41	6	-2	272	0	272
42	6	-2	280	0	280
43	6	-2	267	0	267
44	6	-2	269	0	269
45	6	-2	279	0	279
46	6	-2	270	0	270
47	6	-2	273	0	273
48	6	-2	267	0	267
49	6	-2	281	0	281
50	6	-2	267	0	267
51	6	-2	269	0	269
52	6	-2	276	0	276
53	6	-2	274	0	274
54	6	-2	276	0	276
55	6	-2	269	0	269
56	6	-2	282	0	282
57	6	-2	278	0	278
58	6	-2	277	0	277
59	6	-2	275	0	275
60	6	-2	277	0	277
61	6	-2	282	0	282
62	6	-2	270	0	270
63	6	-2	276	0	276
64	6	-2	276	0	276
65	6	-2	277	0	277
66	6	-2	274	0	274
67	6	-2	273	0	273
68	6	-2	277	0	277
69	6	-2	280	0	280
70	6	-2	272	0	272
71	6	-2	269	0	269
72	6	-2	277	0	277
73	6	-2	278	0	278
74	6	-2	276	0	276
75	6	-2	277	0	277
76	6	-2	278	0	278
77	6	-2	273	0	273
78	6	-2	277	0	277
79	6	-2	279	0	279
80	6	-2	269	0	269
81	6	-2	281	0	281
82	6	-2	272	0	272
83	6	-2	273	0	273
84	6	-2	269	0	269
85	6	-2	286	0	286
86	6	-2	274	0	274
87	6	-2	274	0	274
88	6	-2	272	0	272
89	6	-2	285	0	285
90	6	-2	268	0	268
91	6	-2	271	0	271
92	6	-2	268	0	268
93	6	-2	287	0	287
94	6	-2	269	0	269
95	6	-2	273	0	273
96	6	-2	270	0	270
97	6	-2	273	0	273
98	6	-2	273	0	273
99	6	-2	268	0	268
100	6	-2	280	0	280
101	6	-2	280	0	280
102	6	-2	274	0	274
103	6	-2	269	0	269
104	6	-2	276	0	276
105	6	-2	279	0	279
106	6	-2	272	0	272
107	6	-2	277	0	277
108	6	-2	270	0	270
109	6	-2	271	0	271
110	6	-2	282	0	282
111	6	-2	275	0	275
112	6	-2	274	0	274
113	6	-2	286	0	286
114	6	-2	271	0	271
115	6	-2	274	0	274
116	6	-2	274	0	274
117	6	-2	287	0	287
118	6	-2	276	0	276
119	6	-2	272	0	272
120	6	-2	268	0	268
121	6	-2	278	0	278
122	6	-2	277	0	277
123	6	-2	266	0	266
124	6	-2	282	0	282
125	6	-2	282	0	282
126	6	-2	271	0	271
127	6	-2	268	0	268
128	6	-2	272	0	272
129	6	-2	269	0	269
130	6	-2	276	0	276
131	6	-2	266	0	266
132	6	-2	272	0	272
133	6	-2	281	0	281
134	6	-2	267	0	267
135	6	-2	276	0	276
136	6	-2	267	0	267
137	6	-2	280	0	280
138	6	-2	266	0	266
139	6	-2	273	0	273
140	6	-2	276	0	276
141	6	-2	267	0	267
142	6	-2	273	0	273
143	6	-2	272	0	272
144	6	-2	273	0	273
145	6	-2	267	0	267
146	6	-2	272	0	272
147	6	-2	273	0	273
148	6	-2	274	0	274
149	6	-2	280	0	280
