reqId	diskCreateTime	vmCreateTime	sliceCreateTime	numFlowSpaces	threadSleepTime
0	23356	20856	2473	1	2000
1	22590	20705	2326	1	2000
2	22564	20742	2300	1	2000
3	22586	20704	2294	1	2000
4	22591	20718	2309	1	2000
5	22586	20712	2253	1	2000
6	22576	20718	2270	1	2000
7	22568	20723	2262	1	2000
8	22584	20728	2291	1	2000
12	22571	20718	10513	5	10000
9	22595	20699	6401	3	6000
11	22585	20704	6374	3	6000
10	22579	20730	6404	3	6000


0	45429	41833	6909	3	6000
1	45156	41423	6415	3	6000
2	45167	41443	6379	3	6000
3	45164	41445	6414	3	6000
4	45177	41449	6390	3	6000
5	45152	41410	6409	3	6000

Physical net 2VM per req (bad dot enough controllers)
reqId	diskCreateTime	vmCreateTime	sliceCreateTime	numFlowSpaces	threadSleepTime
0	22629	20858	2613	1	2000
1	22645	20882	2334	1	2000
2	22609	20870	2276	1	2000
3	22651	20847	2249	1	2000
4	22528	20776	2263	1	2000
5	22621	20946	2246	1	2000
6	22670	20888	2258	1	2000
7	22635	20847	2305	1	2000
14	22544	20657	2281	1	2000
8	22509	20720	2248	1	2000
15	22662	20883	2261	1	2000
12	22624	20826	2251	1	2000
9	22530	20739	2259	1	2000
13	22621	20828	2336	1	2000
18	22656	20893	2272	1	2000
19	22610	20927	2315	1	2000
16	22637	20855	2263	1	2000
17	22618	20800	2254	1	2000
11	22528	20674	2240	1	2000
10	22504	20693	2259	1	2000
23	22516	20707	2239	1	2000
24	22615	20841	2114	1	2000
25	22531	20734	2113	1	2000
26	22533	20646	2112	1	2000
30	22510	20931	2127	1	2000
27	22616	20937	2130	1	2000
31	22647	20875	2108	1	2000
28	22506	20698	2104	1	2000
32	22641	20831	2106	1	2000
29	22624	20794	2107	1	2000
33	22532	20662	2110	1	2000
35	22519	20708	2105	1	2000
34	22531	20660	2107	1	2000
20	22501	20729	2103	1	2000
22	22622	20968	2104	1	2000
21	22533	20669	2103	1	2000

physical net 2VM per req
reqId	diskCreateTime	vmCreateTime	sliceCreateTime	numFlowSpaces	threadSleepTime
0	22705	21976	2737	1	2000
1	22665	20863	2312	1	2000
2	22612	20879	2288	1	2000
3	22665	20901	2272	1	2000
4	22529	20702	2289	1	2000
5	22614	20931	2266	1	2000
6	22662	20878	2274	1	2000
7	22609	20849	2296	1	2000
14	22537	20659	2276	1	2000
8	22517	20945	2272	1	2000
15	22674	20888	2266	1	2000
12	22612	20851	2254	1	2000
9	22542	20767	2288	1	2000
13	22595	20864	2254	1	2000
18	22680	20896	2273	1	2000
19	22611	20859	2272	1	2000
16	22661	20887	2273	1	2000
17	22601	20860	2286	1	2000
11	22538	20675	2272	1	2000
10	22493	20712	2293	1	2000
23	22503	20764	2255	1	2000
24	22609	20831	2257	1	2000
25	22537	20752	2264	1	2000
26	22533	20667	2277	1	2000
30	22490	20735	2278	1	2000
27	22611	20868	2257	1	2000
31	22677	20900	2259	1	2000
28	22515	20735	2299	1	2000
32	22678	20860	2266	1	2000
29	22632	20927	2271	1	2000
33	22537	20650	2251	1	2000
35	22513	20731	2251	1	2000
34	22549	20659	2246	1	2000
20	22509	20703	2246	1	2000
22	22621	21186	2257	1	2000
21	22535	20679	2281	1	2000

physical 2VM per req for 50 req in 80 vm space
reqId	diskCreateTime	vmCreateTime	sliceCreateTime	numFlowSpaces	threadSleepTime
0	22821	21348	2959	1	2000
1	22646	20875	2332	1	2000
2	22612	20919	2277	1	2000
3	22668	21660	2292	1	2000
4	22536	20674	2289	1	2000
5	22616	20890	2264	1	2000
6	22651	20949	2291	1	2000
7	22620	20857	2280	1	2000
14	22516	20958	2306	1	2000
8	22634	20963	2308	1	2000
15	22548	20655	2280	1	2000
12	22611	20824	2273	1	2000
9	22537	20691	2270	1	2000
13	22692	20899	2273	1	2000
18	22611	20830	2269	1	2000
19	22613	20907	2261	1	2000
16	22610	20823	2280	1	2000
17	22676	20863	2276	1	2000
11	22526	20726	2257	1	2000
10	22509	20911	2331	1	2000
23	22538	20649	2292	1	2000
24	22508	20926	2280	1	2000
25	22536	20663	2265	1	2000
26	22658	20879	2263	1	2000
30	22505	20711	2278	1	2000
27	22671	20890	2274	1	2000
31	22621	20875	2271	1	2000
28	22611	20828	2291	1	2000
32	22534	20659	2357	1	2000
29	22610	20878	2275	1	2000
33	22533	20671	2267	1	2000
35	22550	20674	2256	1	2000
34	22614	20873	2253	1	2000
37	22619	20810	2269	1	2000
36	22663	20907	2263	1	2000
39	22508	20707	2268	1	2000
20	22579	20864	2270	1	2000
38	22614	20819	2250	1	2000
22	22618	20951	2285	1	2000
21	22493	20725	2265	1	2000

physical 3VM per req for 50 req in 80 vm space
reqId	diskCreateTime	vmCreateTime	sliceCreateTime	numFlowSpaces	threadSleepTime
0	33967	32357	2667	1	2000
1	33990	31310	2221	1	2000
2	33904	31329	2218	1	2000
3	34002	31355	2220	1	2000
4	33790	31010	2204	1	2000
5	33932	31344	2234	1	2000
6	33908	31267	2199	1	2000
23	33799	30992	2220	1	2000
7	33914	31284	2209	1	2000
14	33912	31264	2202	1	2000
24	33925	31212	6262	3	6000
8	33757	31044	2206	1	2000
15	33930	31243	2229	1	2000
25	33876	31181	10331	5	10000
9	33793	30984	2203	1	2000
12	33997	31367	2238	1	2000
13	33768	31055	2267	1	2000
18	33772	31084	2195	1	2000
19	33917	31335	6246	3	6000
16	33809	30989	2204	1	2000
17	33914	31539	2194	1	2000
20	33909	31203	6253	3	6000
11	33961	31526	2191	1	2000
10	33919	31445	2192	1	2000
22	33809	30994	2200	1	2000
21	33817	31112	6239	3	6000

physical 4VM per req for 50 req in 80 vm space
reqId	diskCreateTime	vmCreateTime	sliceCreateTime	numFlowSpaces	threadSleepTime
0	45221	42621	2709	1	2000
1	45319	41744	2221	1	2000
2	45209	41828	2209	1	2000
3	45338	41779	2209	1	2000
4	45060	41306	2216	1	2000
5	45231	41772	2211	1	2000
6	45231	41663	2216	1	2000
7	45204	41670	2222	1	2000
14	45245	41674	2211	1	2000
15	45250	41711	2203	1	2000
8	45019	41833	2207	1	2000
12	45333	41743	2191	1	2000
9	45075	41309	2200	1	2000	<-- flowvisor crashed after this
13	45002	41914	2013	1	2000
18	45030	41425	2014	1	2000
19	45078	41310	2013	1	2000
16	45089	41352	2013	1	2000
17	45252	41643	2015	1	2000
11	45220	41806	2013	1	2000
10	45321	41729	2015	1	2000

re-run
physical 4VM per req for 50 req in 80 vm space
reqId	diskCreateTime	vmCreateTime	sliceCreateTime	numFlowSpaces	threadSleepTime

0	45293	42447	2642	1	2000
1	45331	41716	2214	1	2000
2	45247	41813	2215	1	2000
3	45327	41810	2234	1	2000
4	45081	41356	2212	1	2000
5	45232	41601	2218	1	2000
6	45249	41632	2226	1	2000
7	45234	41654	2300	1	2000
14	45223	41619	2201	1	2000
15	45241	41678	2205	1	2000
8	45035	41704	2198	1	2000
12	45317	41744	2210	1	2000
9	45058	41320	2202	1	2000
13	45026	41657	2203	1	2000
18	45012	41407	2217	1	2000
19	45055	41325	2211	1	2000
16	45068	41309	2208	1	2000
17	45211	41636	2200	1	2000
11	45204	41691	2205	1	2000
10	45315	41742	2208	1	2000

physical 5VM per req for 50 req in 80 vm space
