close	H-1	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9	S-10	S-11	S-12	S-13	
H-1	0	6	6	4	6	6	4	6	6	4	4	2	3	1	5	5	3	5	5	3	5	5	
H-2	6	0	6	6	4	6	6	4	6	2	4	4	3	5	1	5	5	3	5	5	5	3	
H-3	6	6	0	6	6	4	6	6	4	4	2	4	3	5	5	1	5	5	3	5	3	5	
H-4	4	6	6	0	6	6	4	6	6	4	4	2	3	3	5	5	1	5	5	3	5	5	
H-5	6	4	6	6	0	6	6	4	6	2	4	4	3	5	3	5	5	1	5	5	5	3	
H-6	6	6	4	6	6	0	6	6	4	4	2	4	3	5	5	3	5	5	1	5	3	5	
H-7	4	6	6	4	6	6	0	6	6	4	4	2	3	3	5	5	3	5	5	1	5	5	
H-8	6	4	6	6	4	6	6	0	6	2	4	4	3	5	3	5	5	3	5	5	5	1	
H-9	6	6	4	6	6	4	6	6	0	4	2	4	3	5	5	3	5	5	3	5	1	5	
S-1	4	2	4	4	2	4	4	2	4	0	2	2	1	3	1	3	3	1	3	3	3	1	
S-2	4	4	2	4	4	2	4	4	2	2	0	2	1	3	3	1	3	3	1	3	1	3	
S-3	2	4	4	2	4	4	2	4	4	2	2	0	1	1	3	3	1	3	3	1	3	3	
S-4	3	3	3	3	3	3	3	3	3	1	1	1	0	2	2	2	2	2	2	2	2	2	
S-5	1	5	5	3	5	5	3	5	5	3	3	1	2	0	4	4	2	4	4	2	4	4	
S-6	5	1	5	5	3	5	5	3	5	1	3	3	2	4	0	4	4	2	4	4	4	2	
S-7	5	5	1	5	5	3	5	5	3	3	1	3	2	4	4	0	4	4	2	4	2	4	
S-8	3	5	5	1	5	5	3	5	5	3	3	1	2	2	4	4	0	4	4	2	4	4	
S-9	5	3	5	5	1	5	5	3	5	1	3	3	2	4	2	4	4	0	4	4	4	2	
S-10	5	5	3	5	5	1	5	5	3	3	1	3	2	4	4	2	4	4	0	4	2	4	
S-11	3	5	5	3	5	5	1	5	5	3	3	1	2	2	4	4	2	4	4	0	4	4	
S-12	5	5	3	5	5	3	5	5	1	3	1	3	2	4	4	2	4	4	2	4	0	4	
S-13	5	3	5	5	3	5	5	1	5	1	3	3	2	4	2	4	4	2	4	4	4	0	
